Unnamed: 0,Countries,ISO3,Region,SIDS,LDCs,# RP,# FA,RP Financing $,FA Financing $,Adaptation,Mitigation,Crosscutting,AdaptationMitigationRatio,Ambition Category,Ambition,CO2BIP,1990,2010,2019,2025 upper,2025 lower,2030 upper,2030 lower,GRadUn,GradCon,Total Change 2019-2030 Upper (%),Total Change 2019-2030 Lower (%),AvgChange%
0,Afghanistan,AFG,Asia-Pacific,False,True,3,1,1599987.0,17198843.0,0.0,17198843.0,0.0,0.0,Keine Überarbeitung im Vergleich zur vorherigen Version,,0.19806969,16.5,38.1,49.4,50.8,47.3,52.8,45.6,,,6.88,-7.69,-0.4
1,Albania,ALB,Eastern Europe,False,False,6,5,5440619.0,52099172.5,24031250.0,4011904.761904762,30732323.23262626,0.8569381798885646,Erhöhte Ambition,1.0,0.14302535,8.1,8.5,9.8,10.7,10.7,11.5,11.5,,,17.35,17.35,17.35
2,Algeria,DZA,Africa,False,False,2,0,3152062.0,,,,,,Keine Überarbeitung im Vergleich zur vorherigen Version,,0.30975473,101.9,145.0,199.4,225.3,204.1,247.1,208.1,5.1,4.7,23.92,4.36,14.14
3,Angola,AGO,Africa,False,True,4,1,2572547.0,9616032.0,9616032.0,0.0,0.0,1.0,Erhöhte Ambition,1.0,0.12788574,57.2,99.9,103.9,97.0,91.8,98.9,80.2,,,-4.81,-22.81,-13.81
4,Argentina,ARG,Latin America and the Caribbean,False,False,11,5,6198092.0,225408286.31,0.0,204156167.2986607,20662878.78818182,0.0,Erhöhte Ambition,1.0,0.2387148,256.0,334.3,336.7,338.4,338.4,339.8,339.8,3.9,3.9,0.92,0.92,0.92
5,Armenia,ARM,Eastern Europe,False,False,7,7,5206305.39,157028123.07,0.0,56861428.57142857,97528345.54334554,0.0,Erhöhte Ambition,1.0,0.18036881,9.2,8.6,11.9,14.5,14.5,16.9,16.9,5.1,5.1,42.02,42.02,42.02
6,Azerbaijan,AZE,Eastern Europe,False,False,4,2,3841560.0,46493937.3,24994797.3,0.0,21500000.0,1.0,Keine höhere Ambition,0.0,0.23032077,80.8,57.1,67.8,59.2,59.2,52.1,52.1,5.1,5.1,-23.16,-23.16,-23.16
7,Bahrain,BHR,Asia-Pacific,True,False,0,1,,2320388.0,2320388.0,0.0,0.0,1.0,Keine höhere Ambition,0.0,0.6066385,18.1,33.9,32.4,40.4,40.4,46.4,46.4,5.1,5.1,43.21,43.21,43.21
8,Bangladesh,BGD,Asia-Pacific,False,True,8,9,6120068.78,441165030.0,141820530.0,256480000.0,45076023.39181286,0.3560641257494686,Erhöhte Ambition,1.0,0.1326851,53.0,122.2,171.3,206.0,206.0,253.1,253.1,1.2,1.2,47.75,47.75,47.75
9,Barbados,BRB,Latin America and the Caribbean,True,False,4,8,1516737.0,236984296.53,70000000.0,41000000.0,127616454.8016959,0.6306306306306306,Erhöhte Ambition,1.0,0.33547768,1.4,1.7,1.5,1.5,1.2,1.3,0.6,1.6,1.2,-13.33,-60.0,-36.67
10,Benin,BEN,Africa,False,True,11,11,4838662.39,87358124.14,31743246.31578948,23766258.32127976,52778937.5868593,0.5718524516356671,Keine höhere Ambition,0.0,0.17399551,5.7,12.6,17.2,22.8,22.6,29.9,28.6,1.2,1.2,73.84,66.28,70.06
11,Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,False,False,8,3,2627919.74,86166669.84,60325465.16666667,0.0,39857142.85714286,1.0,Keine höhere Ambition,0.0,0.28629375,19.0,85.0,116.5,145.4,145.4,172.3,172.3,5.1,5.1,47.9,47.9,47.9
12,Bosnia and Herzegovina,BIH,Eastern Europe,False,False,3,2,3703756.0,31746000.0,14400000.0,17346000.0,0.0,0.4536004536004536,Erhöhte Ambition,1.0,0.44537374,23.6,31.1,33.0,27.5,26.9,22.9,21.7,3.1,2.8,-30.61,-34.24,-32.42
13,Botswana,BWA,Africa,False,False,6,3,2280546.0,81049894.0,0.0,40000000.0,44391972.94736842,0.0,Keine Überarbeitung im Vergleich zur vorherigen Version,,0.1678508,13.6,22.9,11.8,13.7,13.7,15.3,15.3,1.9,1.9,29.66,29.66,29.66
14,Brazil,BRA,Latin America and the Caribbean,False,False,12,14,5164666.81,467760659.06,60433996.00980392,117872890.9461905,174145810.5495762,0.3389324834363737,Keine höhere Ambition,0.0,0.15179726,654.9,1072.1,1195.5,1457.2,1457.2,1642.9,1311.1,2.1,2.1,37.42,9.67,23.55
15,Burkina Faso,BFA,Africa,False,True,9,14,5303415.0,155576981.27,44861546.29357143,71662091.65461309,46501128.48046254,0.3849995338587039,Erhöhte Ambition,1.0,0.1707881,14.3,27.8,34.7,47.4,47.4,62.5,62.5,1.2,1.2,80.12,80.12,80.12
16,Burundi,BDI,Africa,False,True,6,4,4497061.0,44157657.98,9994500.0,5263157.894736842,29062500.0,0.6550481121645558,Erhöhte Ambition,1.0,0.07707084,2.6,3.6,4.5,6.5,6.1,7.1,6.4,1.2,1.2,57.78,42.22,50.0
17,Cabo Verde,CPV,Africa,True,False,4,0,1996311.0,,,,,,Erhöhte Ambition,1.0,0.13054688,0.3,0.9,1.0,1.0,0.9,0.9,0.8,1.2,1.2,-10.0,-20.0,-15.0
18,Cambodia,KHM,Asia-Pacific,False,True,14,9,5633291.76,254087146.83,68124369.85714285,64011904.76190476,115853250.0,0.5155614539122373,Erhöhte Ambition,1.0,0.3010379,18.7,33.0,46.5,52.0,50.5,59.2,53.9,5.0,4.1,27.31,15.91,21.61
19,Cameroon,CMR,Africa,False,False,5,8,3768098.0,60458971.14,13355526.31578947,9275062.656641604,45005518.71657754,0.5901537221174127,Erhöhte Ambition,1.0,0.121432394,30.0,35.0,39.6,51.9,51.9,66.8,66.8,2.0,1.4,68.69,68.69,68.69
20,Central African Republic,CAF,Africa,False,True,6,1,1771129.0,39998000.0,0.0,40000000.0,0.0,0.0,Erhöhte Ambition,1.0,0.072099924,18.8,9.4,10.6,10.9,10.6,11.2,10.5,3.6,2.8,5.66,-0.94,2.36
21,Chad,TCD,Africa,False,True,10,7,3587979.0,93700905.31,28105058.03007519,30000000.0,31795246.12752137,0.4836938294688219,Keine höhere Ambition,0.0,0.124583445,15.8,50.9,80.5,84.5,75.5,87.9,71.3,1.2,1.2,9.19,-11.43,-1.12
22,Chile,CHL,Latin America and the Caribbean,False,False,13,7,7261503.86,175518677.0,0.0,131619456.7619048,103722222.2222222,0.0,Erhöhte Ambition,1.0,0.18409525,52.7,96.1,115.4,104.3,104.3,95.0,95.0,3.2,3.2,-17.68,-17.68,-17.68
23,China,CHN,Asia-Pacific,False,False,0,1,,100000000.0,0.0,0.0,100000000.0,,Erhöhte Ambition,1.0,0.4209201,3687.3,11110.9,13535.7,14196.4,14196.4,14615.4,14615.4,5.1,5.1,7.98,7.98,7.98
24,Colombia,COL,Latin America and the Caribbean,False,False,18,14,7128093.27,342667177.11,72874386.34313726,50142068.07643849,208063171.7717984,0.5923954375614054,Erhöhte Ambition,1.0,0.13234182,114.9,159.5,195.6,170.8,170.8,150.0,150.0,1.2,1.2,-23.31,-23.31,-23.31
25,Comoros,COM,Africa,True,True,4,4,2121256.0,66724236.16,71964745.6764706,0.0,0.0,1.0,Erhöhte Ambition,1.0,0.26807097,0.2,0.4,0.5,0.6,0.5,0.7,0.5,1.2,1.2,40.0,0.0,20.0
26,Congo,COG,Africa,False,False,4,1,1266397.0,28988852.0,0.0,28988852.0,0.0,0.0,Erhöhte Ambition,1.0,0.34254944,3.9,6.2,6.8,8.8,5.5,10.4,4.3,2.2,1.2,52.94,-36.76,8.09
27,Costa Rica,CRI,Latin America and the Caribbean,False,False,8,12,6599988.84,420323911.6,27114285.71428571,348587215.0605655,62072131.08559201,0.07216975619837794,Erhöhte Ambition,1.0,0.09766851,9.5,13.7,17.2,14.8,14.8,12.8,12.8,1.2,1.2,-25.58,-25.58,-25.58
28,Cote d'Ivoire,CIV,Africa,False,False,11,17,6349045.0,158072752.53,39580225.84745614,15759313.87627976,103635173.8666553,0.7152250641231775,Erhöhte Ambition,1.0,0.11232087,14.6,21.7,31.2,29.0,29.0,27.1,27.1,1.2,1.2,-13.14,-13.14,-13.14
29,Cuba,CUB,Latin America and the Caribbean,True,False,12,2,6957236.16,62134085.0,23927294.0,0.0,38206791.0,1.0,Keine höhere Ambition,0.0,0.2600236,51.6,48.5,40.6,47.0,47.0,52.7,52.7,3.8,3.8,29.8,29.8,29.8
30,Democratic People's Republic of Korea,PRK,Asia-Pacific,False,False,1,0,752090.0,,,,,,Erhöhte Ambition,1.0,1.3878486,179.6,75.4,60.4,77.0,77.0,90.8,90.8,3.4,3.4,50.33,50.33,50.33
31,Democratic Republic of the Congo,COD,Africa,False,True,10,10,3688739.0,113138919.15,13355526.31578947,68345238.09523809,34331691.91919192,0.1634688048767731,Erhöhte Ambition,1.0,0.05071014,63.6,66.4,83.2,104.4,64.1,140.0,66.1,1.2,1.2,68.27,-20.55,23.86
32,Djibouti,DJI,Africa,False,True,5,6,1606325.13,67349239.38,13355526.31578947,5263157.894736842,66861059.41862716,0.7173184831309805,Keine Überarbeitung im Vergleich zur vorherigen Version,,0.14555606,1.2,1.8,1.8,2.4,1.9,3.1,2.1,1.2,1.2,72.22,16.67,44.44
33,Dominica,DMA,Latin America and the Caribbean,True,False,14,4,10194729.42,26678585.0,6666666.666666667,20011904.76190476,0.0,0.249888442659527,Keine höhere Ambition,0.0,0.23152934,0.1,0.3,0.3,0.1,0.0,0.1,0.0,,,-66.67,-100.0,-83.33
34,Dominican Republic,DOM,Latin America and the Caribbean,True,False,10,9,5774918.99,103309571.84,27114285.71428571,23168072.06056548,45120531.51169591,0.5392405391110552,Erhöhte Ambition,1.0,0.15917158,18.2,34.4,41.6,45.1,39.5,48.1,37.7,1.8,1.2,15.62,-9.37,3.13
35,Ecuador,ECU,Latin America and the Caribbean,False,False,14,16,8324247.38,322333686.68,49127938.05742297,96797345.43441938,181083930.4710888,0.3366650170679255,Erhöhte Ambition,1.0,0.23151623,39.1,66.3,71.0,70.0,60.8,69.1,52.3,1.7,1.2,-2.68,-26.34,-14.51
36,Egypt,EGY,Africa,False,False,3,7,4188953.0,338375920.0,37051466.66666666,154700000.0,89390497.73755656,0.1932265098711109,Keine höhere Ambition,0.0,0.18567751,123.6,298.7,361.5,483.3,483.3,607.2,607.2,4.9,4.9,67.97,67.97,67.97
